Rank,Word,Part of speech,Frequency,Dispersion,Copies require reference to source: http://www.wordfrequency.info (note there are swears)
796,TV,noun,49438,0.95,
797,training,noun,49997,0.93,
798,pretty,adverb,50385,0.93,
799,trade,noun,49696,0.94,
800,deal,noun,48975,0.95,
801,election,noun,51322,0.91,
802,everybody,pronoun,51147,0.91,
803,physical,adjective,51451,0.9,
804,lay,verb,49358,0.94,
805,general,adjective,49657,0.93,
806,feeling,noun,47349,0.98,
807,standard,noun,49876,0.93,
808,bill,noun,49011,0.94,
809,message,noun,47533,0.97,
810,fail,verb,47503,0.97,
811,outside,preposition,46628,0.98,
812,arrive,verb,47435,0.97,
813,analysis,noun,53840,0.85,
814,benefit,noun,48594,0.94,
815,name,verb,47375,0.97,
816,sex,noun,47827,0.95,
817,forward,adverb,47877,0.95,
818,lawyer,noun,47853,0.95,
819,present,verb,49659,0.92,
820,section,noun,49764,0.91,
821,environmental,adjective,51192,0.88,
822,glass,noun,49686,0.91,
823,answer,verb,47661,0.95,
824,skill,noun,50431,0.9,
825,sister,noun,48183,0.94,
826,PM,adverb,54765,0.82,
827,professor,noun,46575,0.97,
828,operation,noun,47276,0.95,
829,financial,adjective,47803,0.94,
830,crime,noun,48010,0.93,
831,stage,noun,46346,0.97,
832,ok,adjective,54697,0.82,
833,compare,verb,48094,0.93,
834,authority,noun,47309,0.94,
835,miss,verb,46525,0.96,
836,design,noun,48605,0.92,
837,sort,noun,47086,0.95,
838,one,noun,45596,0.98,
839,act,verb,45648,0.98,
840,ten,numeral,46827,0.95,
841,knowledge,noun,50335,0.88,
842,gun,noun,47305,0.94,
843,station,noun,46299,0.96,
844,blue,adjective,47622,0.93,
845,state,verb,47977,0.93,
846,strategy,noun,49126,0.9,
847,little,determiner,45469,0.97,
848,clearly,adverb,45912,0.96,
849,discuss,verb,46852,0.94,
850,indeed,adverb,46184,0.95,
851,force,verb,44931,0.97,
852,truth,noun,45155,0.97,
853,song,noun,45352,0.96,
